output.Answer,aqs,aqs_initial
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,0.11529310765644107,0.1111111111111111
50,0.4397022561166076,0.4479166666666666
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,0.16461463334968301,0.16666666666666666
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,1e-08,1e-08
50,0.5871846270959685,0.5726190476190477
50,1e-08,1e-08
50,1e-08,1e-08
50,0.5371982823183156,0.495
50,0.49225974858492394,0.528846153846154
50,1e-08,1e-08
50,1e-08,1e-08
50,0.34224728670724375,0.3497619047619048
50,0.13802032923292226,0.14583333333333331
50,0.28008542134020875,0.3177083333333333
50,1e-08,1e-08
50,0.2718886962629675,0.29166666666666663
50,1e-08,1e-08
50,0.7571646846527753,0.7166666666666666
50,1e-08,1e-08
50,1e-08,1e-08
50,0.7082609205880358,0.6726190476190477
50,0.6204787478681273,0.5966666666666666
50,0.09780193167931599,0.125
50,1e-08,1e-08
50,1e-08,1e-08
