unit,judgment,job,duration,wqs,wwa,wsa,wqs_initial,wwa_initial,wsa_initial
10,10,1,0.0,0.3529319809537971,0.48346206520867396,0.7300096664284571,0.27947795373602907,0.4076536210403915,0.6855770176228548
10,10,1,0.0,0.32345481828340245,0.4631916379211062,0.6983174820148531,0.26056289130761245,0.3911629990673273,0.6661235646747973
10,10,1,0.0,0.2012736592858205,0.3723139504853441,0.5406019812672679,0.15572144076372202,0.3080193562636062,0.5055573216329106
10,10,1,0.0,0.15673265716598525,0.3195713449677332,0.49044652980951836,0.14968572921659493,0.29264644249757366,0.5114900011738088
10,10,1,0.0,0.17505999263573765,0.33973050477908767,0.5152907677500781,0.1794758057257049,0.32480204029855614,0.5525698224085409
10,10,1,0.0,0.3455506311999239,0.48242949218028347,0.716271780231031,0.27697166036829707,0.408553613525114,0.6779322252923152
10,10,1,0.0,0.3695461181328136,0.49380917323008106,0.7483581475725858,0.2982817723650754,0.41983829488935775,0.7104682350229229
10,10,1,0.0,0.1396051683107698,0.30487451262779514,0.45791026316852607,0.11824531058444086,0.2634003065810957,0.4489186520670791
10,10,1,0.0,0.11947932827342377,0.28826873747233644,0.4144720281535542,0.08864974865021154,0.23485431702219126,0.37746697516245814
10,10,1,0.0,0.08808460154724987,0.243500078915238,0.36174362628404727,0.07529578040343299,0.2132071127489305,0.35315791969895566
10,10,1,0.0,0.30608363215780365,0.45282055531776993,0.6759490676014196,0.27020373841037854,0.4011648986930377,0.6735478086210437
10,10,1,0.0,0.30936339156066767,0.4533824608248288,0.6823453006934799,0.2636981005932361,0.39389024190982364,0.6694710163792444
10,10,1,0.0,0.14902756589474017,0.32607650270602107,0.4570325204606911,0.11957259836995636,0.27597892684495584,0.43326713288196783
10,10,1,0.0,0.3054961385912808,0.45041539998229685,0.6782542040154222,0.262107277457804,0.3950515190056521,0.6634761919597983
10,10,1,0.0,0.2583974984483573,0.4169662043121228,0.6197084938205979,0.21408566849152924,0.35872906661487935,0.5967892998237724
10,10,1,0.0,0.07026519745006159,0.2135685721191928,0.32900532486046924,0.0624362030612823,0.19129509340589265,0.32638685054406635
10,10,1,0.0,0.16701800245263768,0.34291312137111646,0.48705631847748126,0.14026351912657758,0.29832493262172977,0.4701702867873568
10,10,1,0.0,0.07069597787536894,0.21263258387396844,0.33247951272262133,0.06966611161906695,0.19762604435179248,0.35251483096557296
